closed-extra-keys            killed    Tests  12 failed | 504 passed (516) (5.0s)
succ-outcome                 killed    Tests  5 failed | 511 passed (516) (5.1s)
succ-exit-code               killed    Tests  1 failed | 515 passed (516) (5.6s)
fixed-policy                 killed    Tests  1 failed | 515 passed (516) (5.4s)
fixed-generation             killed    Tests  1 failed | 515 passed (516) (5.3s)
psucc-first                  killed    Tests  1 failed | 515 passed (516) (5.1s)
psucc-offset                 killed    Tests  1 failed | 515 passed (516) (5.9s)
psucc-digest                 killed    Tests  1 failed | 515 passed (516) (5.9s)
psucc-stream                 killed    Tests  1 failed | 515 passed (516) (5.2s)
cap-reason                   killed    Tests  3 failed | 513 passed (516) (4.8s)
cap-manifest-required        killed    Tests  2 failed | 514 passed (516) (5.3s)
cap-manifest-limit           killed    Tests  2 failed | 514 passed (516) (5.0s)
env-not-started              killed    Tests  2 failed | 514 passed (516) (4.8s)
env-error-empty              killed    Tests  2 failed | 514 passed (516) (4.9s)
envof-status                 killed    Tests  2 failed | 514 passed (516) (4.7s)
envof-reason                 killed    Tests  1 failed | 515 passed (516) (4.7s)
envof-capture                killed    Tests  1 failed | 515 passed (516) (4.7s)
pub-digest                   killed    Tests  2 failed | 514 passed (516) (4.8s)
pub-idempotent               killed    Tests  3 failed | 513 passed (516) (4.8s)
pub-sealed-ge                killed    Tests  2 failed | 514 passed (516) (4.7s)
pub-max-bytes                killed    Tests  1 failed | 515 passed (516) (4.8s)
pub-ordinal-max              killed    Tests  1 failed | 515 passed (516) (4.9s)
pub-stores-mismatch          killed    Tests  1 failed | 515 passed (516) (4.8s)
seal-repeat                  killed    Tests  1 failed | 515 passed (516) (4.9s)
seal-count                   killed    Tests  2 failed | 514 passed (516) (4.9s)
seal-extra                   killed    Tests  1 failed | 515 passed (516) (4.7s)
seal-length                  killed    Tests  1 failed | 515 passed (516) (4.9s)
seal-digest                  killed    Tests  2 failed | 514 passed (516) (4.8s)
seal-max-count               killed    Tests  1 failed | 515 passed (516) (4.7s)
prefix-sealed                killed    Tests  5 failed | 511 passed (516) (4.7s)
prefix-gap                   killed    Tests  3 failed | 513 passed (516) (4.6s)
seal-refused-records         SURVIVED  Tests  516 passed (516) (7.6s)
f1-drop-unknown              killed    Tests  3 failed | 513 passed (516) (4.7s)
f1-unknown-exit-only         killed    Tests  1 failed | 515 passed (516) (4.6s)
f1-unknown-signal-only       killed    Tests  2 failed | 514 passed (516) (4.7s)
f1-wrong-status              killed    Tests  5 failed | 511 passed (516) (4.7s)
killed 88/90; survivors: ['bytes-bound', 'seal-refused-records']
