J8	pr	19/765	boot:capability-digest-with-trailing-newline boot:runtime-instance-id-with-trailing-newline boot:runtime-incarnation-with-trailing-newline boot:lease-id-with-trailing-newline boot:provision-request-id-with-trailing-newline boot:tenant-id-with-trailing-newline boot:workspace-id-with-trailing-newline boot:token-with-trailing-newline attest:capability-digest-with-trailing-newline attest:provision-request-id-with-trailing-newline attest:tenant-id-with-trailing-newline attest:workspace-id-with-trailing-newline attest:capability-digest-with-trailing-newline-with-other-identity attest:provision-request-id-with-trailing-newline-with-other-identity attest:tenant-id-with-trailing-newline-with-other-identity attest:workspace-id-with-trailing-newline-with-other-identity install:operation-id-with-trailing-newline#0 install:operation-id-with-trailing-newline-after-an-installation#1 install:operation-id-with-trailing-newline-with-other-workspace#0
J8	supplement	0/22	
J9	main	0/565	
J9	pr	0/765	
J9	supplement	3/22	boot:A-generation-trailing-non-ascii-digit ready:A-port-trailing-non-ascii-digit attest:A-generation-trailing-non-ascii-digit
J9b	main	0/565	
J9b	pr	0/765	
J9b	supplement	3/22	boot:A-generation-trailing-non-ascii-digit ready:A-port-trailing-non-ascii-digit attest:A-generation-trailing-non-ascii-digit
J10	main	19/565	boot:numeric-token boot:numeric-runtime-instance boot:numeric-runtime-incarnation boot:numeric-lease boot:numeric-provision-request boot:generation-as-number attest:generation-as-number attest:numeric-provision-request attest:generation-as-number-with-other-identity attest:numeric-provision-request-with-other-identity install:numeric-session#0 install:binding-numeric-revision#0 install:numeric-operation-id#0 install:numeric-session-after-an-installation#1 install:numeric-session-with-other-workspace#0 install:binding-numeric-revision-after-an-installation#1 install:binding-numeric-revision-with-other-workspace#0 install:numeric-operation-id-after-an-installation#1 install:numeric-operation-id-with-other-workspace#0
J10	pr	46/765	boot:numeric-token boot:numeric-runtime-instance boot:numeric-runtime-incarnation boot:numeric-lease boot:numeric-provision-request boot:numeric-tenant boot:numeric-workspace boot:numeric-storage boot:generation-as-number attest:generation-as-number attest:numeric-provision-request attest:numeric-tenant attest:numeric-workspace attest:numeric-storage attest:generation-as-number-with-other-identity attest:numeric-provision-request-with-other-identity attest:numeric-tenant-with-other-identity attest:numeric-workspace-with-other-identity attest:numeric-storage-with-other-identity install:numeric-session#0 install:binding-numeric-revision#0 install:numeric-operation-id#0 install:binding-tenant-as-number#0 install:binding-workspace-as-number#0 install:binding-generation-as-number#0 install:binding-storage-as-number#0 install:binding-directory-as-number#0 install:binding-config-as-number#0 install:numeric-session-after-an-installation#1 install:numeric-session-with-other-workspace#0 install:binding-numeric-revision-after-an-installation#1 install:binding-numeric-revision-with-other-workspace#0 install:numeric-operation-id-after-an-installation#1 install:numeric-operation-id-with-other-workspace#0 install:binding-tenant-as-number-after-an-installation#1 install:binding-tenant-as-number-with-other-workspace#0 install:binding-workspace-as-number-after-an-installation#1 install:binding-workspace-as-number-with-other-workspace#0 install:binding-generation-as-number-after-an-installation#1 install:binding-generation-as-number-with-other-workspace#0 install:binding-storage-as-number-after-an-installation#1 install:binding-storage-as-number-with-other-workspace#0 install:binding-directory-as-number-after-an-installation#1 install:binding-directory-as-number-with-other-workspace#0 install:binding-config-as-number-after-an-installation#1 install:binding-config-as-number-with-other-workspace#0
J10	supplement	0/22	
J11	main	0/565	
J11	pr	4/765	install:checks-the-tenant-before-an-operation-reused-by-another-session#1 install:checks-the-workspace-id-before-an-operation-reused-by-another-session#1 install:checks-the-generation-before-an-operation-reused-by-another-session#1 install:checks-the-storage-before-an-operation-reused-by-another-session#1
J11	supplement	0/22	
J11b	main	0/565	
J11b	pr	5/765	install:checks-the-tenant-before-an-operation-reused-by-another-session#1 install:checks-the-workspace-id-before-an-operation-reused-by-another-session#1 install:checks-the-generation-before-an-operation-reused-by-another-session#1 install:checks-the-storage-before-an-operation-reused-by-another-session#1 install:checks-the-digest-before-an-operation-reused-by-another-session#1
J11b	supplement	1/22	install:D4-digest-refusal-from-another-session-keeps-the-operation#1
J11c	main	50/565	install:binding-not-normalized-after-an-installation#1 install:binding-parent-segment-after-an-installation#1 install:binding-absolute-directory-after-an-installation#1 install:binding-numeric-revision-after-an-installation#1 install:binding-config-with-space-after-an-installation#1 install:digest-of-another-binding-after-an-installation#1 install:binding-generation-over-int64-after-an-installation#1 install:binding-revision-over-int64-after-an-installation#1 install:binding-directory-with-backslash-after-an-installation#1 install:binding-directory-with-control-after-an-installation#1 install:binding-directory-with-lone-surrogate-after-an-installation#1 install:binding-drive-directory-after-an-installation#1 install:binding-empty-segment-after-an-installation#1 install:binding-trailing-slash-after-an-installation#1 install:binding-tenant-empty-after-an-installation#1 install:binding-tenant-over-128-after-an-installation#1 install:binding-tenant-with-slash-after-an-installation#1 install:binding-tenant-non-ascii-after-an-installation#1 install:binding-workspace-empty-after-an-installation#1 install:binding-workspace-over-128-after-an-installation#1 install:binding-workspace-with-slash-after-an-installation#1 install:binding-generation-zero-after-an-installation#1 install:binding-generation-leading-zero-after-an-installation#1 install:binding-generation-signed-after-an-installation#1 install:binding-generation-empty-after-an-installation#1 install:binding-storage-empty-after-an-installation#1 install:binding-storage-over-256-after-an-installation#1 install:binding-storage-non-ascii-after-an-installation#1 install:binding-directory-empty-after-an-installation#1 install:binding-directory-over-1024-after-an-installation#1 install:binding-directory-with-nul-after-an-installation#1 install:binding-directory-with-del-after-an-installation#1 install:binding-directory-with-c1-after-an-installation#1 install:binding-directory-parent-inside-after-an-installation#1 install:binding-directory-dot-segment-after-an-installation#1 install:binding-config-empty-after-an-installation#1 install:binding-config-over-512-after-an-installation#1 install:binding-config-non-ascii-after-an-installation#1 install:binding-revision-zero-after-an-installation#1 install:binding-revision-leading-zero-after-an-installation#1 install:binding-revision-signed-after-an-installation#1 install:binding-revision-empty-after-an-installation#1 install:binding-tenant-pattern-after-an-installation#1 install:binding-workspace-pattern-after-an-installation#1 install:binding-storage-with-space-after-an-installation#1 install:checks-the-digest-before-the-workspace-after-an-installation#1 install:checks-the-tenant-before-the-operation#1 install:checks-the-workspace-id-before-the-operation#1 install:checks-the-generation-before-the-operation#1 install:checks-the-storage-before-the-operation#1
J11c	pr	76/765	install:binding-not-normalized-after-an-installation#1 install:binding-parent-segment-after-an-installation#1 install:binding-absolute-directory-after-an-installation#1 install:binding-numeric-revision-after-an-installation#1 install:binding-config-with-space-after-an-installation#1 install:digest-of-another-binding-after-an-installation#1 install:binding-generation-over-int64-after-an-installation#1 install:binding-revision-over-int64-after-an-installation#1 install:binding-directory-with-backslash-after-an-installation#1 install:binding-directory-with-control-after-an-installation#1 install:binding-directory-with-lone-surrogate-after-an-installation#1 install:binding-drive-directory-after-an-installation#1 install:binding-empty-segment-after-an-installation#1 install:binding-trailing-slash-after-an-installation#1 install:binding-tenant-empty-after-an-installation#1 install:binding-tenant-over-128-after-an-installation#1 install:binding-tenant-with-slash-after-an-installation#1 install:binding-tenant-non-ascii-after-an-installation#1 install:binding-workspace-empty-after-an-installation#1 install:binding-workspace-over-128-after-an-installation#1 install:binding-workspace-with-slash-after-an-installation#1 install:binding-generation-zero-after-an-installation#1 install:binding-generation-leading-zero-after-an-installation#1 install:binding-generation-signed-after-an-installation#1 install:binding-generation-empty-after-an-installation#1 install:binding-storage-empty-after-an-installation#1 install:binding-storage-over-256-after-an-installation#1 install:binding-storage-non-ascii-after-an-installation#1 install:binding-directory-empty-after-an-installation#1 install:binding-directory-over-1024-after-an-installation#1 install:binding-directory-with-nul-after-an-installation#1 install:binding-directory-with-del-after-an-installation#1 install:binding-directory-with-c1-after-an-installation#1 install:binding-directory-parent-inside-after-an-installation#1 install:binding-directory-dot-segment-after-an-installation#1 install:binding-config-empty-after-an-installation#1 install:binding-config-over-512-after-an-installation#1 install:binding-config-non-ascii-after-an-installation#1 install:binding-revision-zero-after-an-installation#1 install:binding-revision-leading-zero-after-an-installation#1 install:binding-tenant-with-trailing-newline-after-an-installation#1 install:binding-workspace-with-trailing-newline-after-an-installation#1 install:binding-generation-with-trailing-newline-after-an-installation#1 install:binding-storage-with-trailing-newline-after-an-installation#1 install:binding-config-with-trailing-newline-after-an-installation#1 install:binding-revision-with-trailing-newline-after-an-installation#1 install:binding-directory-with-trailing-newline-after-an-installation#1 install:binding-generation-non-ascii-digit-after-an-installation#1 install:binding-revision-non-ascii-digit-after-an-installation#1 install:binding-tenant-as-number-after-an-installation#1 install:binding-workspace-as-number-after-an-installation#1 install:binding-generation-as-number-after-an-installation#1 install:binding-storage-as-number-after-an-installation#1 install:binding-directory-as-number-after-an-installation#1 install:binding-config-as-number-after-an-installation#1 install:binding-revision-signed-after-an-installation#1 install:binding-revision-empty-after-an-installation#1 install:binding-tenant-pattern-after-an-installation#1 install:binding-workspace-pattern-after-an-installation#1 install:binding-storage-with-space-after-an-installation#1 install:checks-the-digest-before-the-workspace-after-an-installation#1 install:after-a-digest-refusal-replays-the-receipt#1 install:after-a-digest-refusal-keeps-the-operation#1 install:after-a-digest-refusal-keeps-the-session#1 install:after-a-workspace-conflict-replays-the-receipt#1 install:after-a-workspace-conflict-keeps-the-operation#1 install:after-a-workspace-conflict-keeps-the-session#1 install:checks-the-tenant-before-the-operation#1 install:checks-the-tenant-before-an-operation-reused-by-another-session#1 install:checks-the-workspace-id-before-the-operation#1 install:checks-the-workspace-id-before-an-operation-reused-by-another-session#1 install:checks-the-generation-before-the-operation#1 install:checks-the-generation-before-an-operation-reused-by-another-session#1 install:checks-the-storage-before-the-operation#1 install:checks-the-storage-before-an-operation-reused-by-another-session#1 install:checks-the-digest-before-an-operation-reused-by-another-session#1
J11c	supplement	1/22	install:D4-digest-refusal-from-another-session-keeps-the-operation#1
J12a	main	1/565	install:keeps-no-state-after-an-operation-conflict#2
J12a	pr	8/765	install:after-an-operation-conflict-replays-the-receipt#2 install:after-an-operation-conflict-keeps-the-session#2 install:after-another-sessions-reuse-replays-the-receipt#2 install:after-another-sessions-reuse-keeps-the-operation#2 install:keeps-the-operation-after-another-session-reuses-it#2 install:keeps-the-original-receipt-after-another-session-reuses-it#2 install:keeps-no-session-after-an-operation-conflict#2 install:keeps-no-state-after-an-operation-conflict#2
J12a	supplement	0/22	
J12b	main	1/565	install:keeps-no-state-after-a-session-conflict#2
J12b	pr	3/765	install:after-a-session-conflict-keeps-the-session#2 install:keeps-the-session-after-a-session-conflict#2 install:keeps-no-state-after-a-session-conflict#2
J12b	supplement	0/22	
J13	main	0/565	
J13	pr	4/765	install:changes-only-the-revision#1 install:changes-only-the-config#1 install:reuses-an-operation-for-another-revision#1 install:reuses-an-operation-for-another-config#1
J13	supplement	0/22	
J14	main	2/565	install:reuses-an-operation-for-another-context#1 install:keeps-no-state-after-an-operation-conflict#1
J14	pr	9/765	install:after-an-operation-conflict-replays-the-receipt#1 install:after-an-operation-conflict-keeps-the-operation#1 install:after-an-operation-conflict-keeps-the-session#1 install:reuses-an-operation-for-another-context#1 install:reuses-an-operation-for-another-revision#1 install:reuses-an-operation-for-another-config#1 install:keeps-the-operation-after-an-operation-conflict#1 install:reuses-an-operation-for-another-directory#1 install:keeps-no-state-after-an-operation-conflict#1
J14	supplement	0/22	
J15	main	0/565	
J15	pr	3/765	install:operation-id-over-128#0 install:operation-id-over-128-after-an-installation#1 install:operation-id-over-128-with-other-workspace#0
J15	supplement	0/22	
J16	main	1/565	boot:empty-token
J16	pr	2/765	boot:empty-token boot:padding-only-token
J16	supplement	0/22	
R1	main	0/565	
R1	pr	0/765	
R1	supplement	1/22	install:D1-operation-replay-session-other-case#1
R2a	main	0/565	
R2a	pr	0/765	
R2a	supplement	2/22	attest:D2-storage-path-other-case install:D2-binding-storage-path-other-case#0
R2b	main	0/565	
R2b	pr	0/765	
R2b	supplement	2/22	attest:D2-storage-trailing-slash attest:D2-storage-double-slash
R2c-strip	main	0/565	
R2c-strip	pr	0/765	
R2c-strip	supplement	1/22	attest:D2-mount-root-trailing-space
R2c-nfkc	main	0/565	
R2c-nfkc	pr	0/765	
R2c-nfkc	supplement	1/22	attest:D2-mount-root-nfkc
R2c-pct	main	0/565	
R2c-pct	pr	0/765	
R2c-pct	supplement	1/22	attest:D2-mount-root-percent
R3a	main	0/565	
R3a	pr	0/765	
R3a	supplement	1/22	install:D3-session-trailing-space-is-another-session#1
R3b	main	0/565	
R3b	pr	0/765	
R3b	supplement	1/22	install:D3-session-nfd-is-another-session#1
R3c	main	0/565	
R3c	pr	0/765	
R3c	supplement	2/22	ready:D3-ready-lease-trailing-newline ready:D3-ready-instance-leading-space
R4a	main	1/565	install:keeps-no-state-after-a-refusal#1
R4a	pr	1/765	install:keeps-no-state-after-a-refusal#1
R4a	supplement	1/22	install:D4-workspace-refusal-keeps-the-session#2
R4a2	main	0/565	
R4a2	pr	0/765	
R4a2	supplement	1/22	install:D4-workspace-refusal-keeps-the-session#2
R4b	main	0/565	
R4b	pr	0/765	
R4b	supplement	1/22	install:D4-digest-refusal-from-another-session-keeps-the-operation#2
R4c	main	2/565	install:keeps-no-state-after-a-binding-rule-refusal#1 install:keeps-no-state-after-a-digest-refusal#1
R4c	pr	2/765	install:keeps-no-state-after-a-binding-rule-refusal#1 install:keeps-no-state-after-a-digest-refusal#1
R4c	supplement	1/22	install:D4-digest-refusal-keeps-the-session#2
R4c2	main	0/565	
R4c2	pr	0/765	
R4c2	supplement	1/22	install:D4-digest-refusal-keeps-the-session#2
R5	main	0/565	
R5	pr	0/765	
R5	supplement	3/22	boot:D5-identifier-non-ascii-digit boot:D5-token-non-ascii-digit boot:D5-digest-non-ascii-digit
R7	main	0/565	
R7	pr	0/765	
R7	supplement	1/22	install:D7-non-canonical-binding-with-canonical-digest#0
