=== node v22.23.2 | Linux 6.8.0-117-generic aarch64 | nproc 2 ===
R2 arm=S_after2_bareassign run=2 variant=after2 script=bareassign test=none lat=0s pat=mint ran=1 verdict=FAIL wall=8.11s
R2 arm=S_after2_bareassign_lat run=1 variant=after2 script=bareassign test=none lat=0.3s pat=mint ran=1 verdict=FAIL wall=8.13s
R2 arm=S_after2_bareassign_lat run=2 variant=after2 script=bareassign test=none lat=0.3s pat=mint ran=1 verdict=FAIL wall=8.19s
R2 arm=S_after2_dieonskip run=1 variant=after2 script=dieonskip test=none lat=0s pat=mint ran=1 verdict=FAIL wall=8.20s
R2 arm=S_after2_dieonskip run=2 variant=after2 script=dieonskip test=none lat=0s pat=mint ran=1 verdict=FAIL wall=8.21s
R2 arm=S_after2_dieonskip_lat run=1 variant=after2 script=dieonskip test=none lat=0.3s pat=mint ran=1 verdict=FAIL wall=8.20s
R2 arm=S_after2_dieonskip_lat run=2 variant=after2 script=dieonskip test=none lat=0.3s pat=mint ran=1 verdict=FAIL wall=8.11s
R2 arm=G_gate1_failopen_lat run=1 variant=after2 script=failopen test=gate_one lat=0.3s pat=mint ran=1 verdict=PASS wall=3.31s
R2 arm=G_gate1_failopen_lat run=2 variant=after2 script=failopen test=gate_one lat=0.3s pat=mint ran=1 verdict=PASS wall=3.32s
R2 arm=G_gate1_failopen_lat run=3 variant=after2 script=failopen test=gate_one lat=0.3s pat=mint ran=1 verdict=PASS wall=3.32s
R2 arm=G_gate1_clean_lat run=1 variant=after2 script=none test=gate_one lat=0.3s pat=mint ran=1 verdict=PASS wall=3.33s
R2 arm=G_gate1_clean_lat run=2 variant=after2 script=none test=gate_one lat=0.3s pat=mint ran=1 verdict=PASS wall=3.28s
R2 arm=G_gate1_clean_lat run=3 variant=after2 script=none test=gate_one lat=0.3s pat=mint ran=1 verdict=PASS wall=3.30s
R2 arm=W_witness_clean run=1 variant=after2 script=none test=none lat=0s pat=witness ran=1 verdict=PASS wall=0.40s
R2 arm=W_witness_clean run=2 variant=after2 script=none test=none lat=0s pat=witness ran=1 verdict=PASS wall=0.41s
R2 arm=W_witness_clean run=3 variant=after2 script=none test=none lat=0s pat=witness ran=1 verdict=PASS wall=0.41s
R2 arm=W_witness_msgbare run=1 variant=after2 script=none test=msg_bare lat=0s pat=witness ran=1 verdict=FAIL wall=0.44s
R2 arm=W_witness_msgbare run=2 variant=after2 script=none test=msg_bare lat=0s pat=witness ran=1 verdict=FAIL wall=0.42s
R2 arm=W_witness_nocount run=1 variant=after2 script=none test=msg_nocount lat=0s pat=witness ran=1 verdict=FAIL wall=0.40s
R2 arm=W_witness_nocount run=2 variant=after2 script=none test=msg_nocount lat=0s pat=witness ran=1 verdict=FAIL wall=0.40s
R2 arm=W_witness_nolastline run=1 variant=after2 script=none test=msg_nolastline lat=0s pat=witness ran=1 verdict=FAIL wall=0.41s
R2 arm=W_witness_nolastline run=2 variant=after2 script=none test=msg_nolastline lat=0s pat=witness ran=1 verdict=FAIL wall=0.42s
R2 arm=W_mint_msgbare run=1 variant=after2 script=none test=msg_bare lat=0s pat=mint ran=1 verdict=PASS wall=2.16s
R2 arm=W_mint_msgbare run=2 variant=after2 script=none test=msg_bare lat=0s pat=mint ran=1 verdict=PASS wall=2.17s
