closed-extra-keys            killed    Tests  12 failed | 500 passed (512) (4.7s)
cap-reason                   killed    Tests  3 failed | 509 passed (512) (4.5s)
cap-manifest-required        killed    Tests  2 failed | 510 passed (512) (4.5s)
cap-manifest-limit           killed    Tests  2 failed | 510 passed (512) (4.6s)
env-not-started              killed    Tests  2 failed | 510 passed (512) (4.6s)
env-error-empty              killed    Tests  2 failed | 510 passed (512) (4.6s)
envof-status                 killed    Tests  2 failed | 510 passed (512) (4.6s)
envof-reason                 killed    Tests  1 failed | 511 passed (512) (4.5s)
envof-capture                killed    Tests  1 failed | 511 passed (512) (4.6s)
pub-digest                   killed    Tests  2 failed | 510 passed (512) (4.5s)
pub-idempotent               killed    Tests  3 failed | 509 passed (512) (4.5s)
pub-sealed-ge                killed    Tests  2 failed | 510 passed (512) (4.6s)
pub-max-bytes                killed    Tests  1 failed | 511 passed (512) (4.6s)
pub-ordinal-max              killed    Tests  1 failed | 511 passed (512) (4.6s)
pub-stores-mismatch          killed    Tests  1 failed | 511 passed (512) (4.6s)
seal-repeat                  killed    Tests  1 failed | 511 passed (512) (4.6s)
seal-count                   killed    Tests  2 failed | 510 passed (512) (4.6s)
seal-extra                   killed    Tests  1 failed | 511 passed (512) (4.6s)
seal-length                  killed    Tests  1 failed | 511 passed (512) (4.6s)
seal-digest                  killed    Tests  2 failed | 510 passed (512) (4.6s)
seal-max-count               killed    Tests  1 failed | 511 passed (512) (4.6s)
prefix-sealed                killed    Tests  5 failed | 507 passed (512) (4.6s)
prefix-gap                   killed    Tests  3 failed | 509 passed (512) (4.6s)
seal-refused-records         SURVIVED  Tests  512 passed (512) (7.6s)
killed 84/86; survivors: ['bytes-bound', 'seal-refused-records']
